"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"57","Romeo Doubs (GB)","46","72","601","13.1","39","8","4","0","0","0","0","13","86.1","6.6","18.0%"
"58","Andrei Iosivas (CIN)","36","61","479","13.3","39","7","6","0","0","0","0","17","83.9","4.9","5.7%"
"59","Calvin Austin III (PIT)","36","58","548","15.2","55","10","4","0","0","0","1","17","82.8","4.9","10.0%"
"60","Keon Coleman (BUF)","29","57","556","19.2","64","12","4","1","9","0","0","13","82.5","6.3","62.1%"
"61","Tre Tucker (LV)","47","81","539","11.5","58","6","3","9","44","1","0","17","82.3","4.8","3.0%"
"62","DeMario Douglas (NE)","66","87","621","9.4","36","8","3","3","16","0","0","17","81.7","4.8","17.1%"
"63","Kayshon Boutte (NE)","43","68","589","13.7","48","11","3","0","0","0","0","15","78.9","5.3","5.6%"
"64","Amari Cooper (FA)","44","85","547","12.4","30","8","4","0","0","0","0","13","78.7","6.1","9.6%"
"65","Ray-Ray McCloud III (ATL)","62","87","686","11.1","60","8","1","10","79","0","2","17","78.5","4.6","2.7%"
"66","Michael Wilson (ARI)","47","71","548","11.7","41","10","4","1","7","0","1","16","77.5","4.8","8.8%"
"67","Christian Watson (GB)","29","53","620","21.4","60","12","2","4","23","0","1","15","76.3","5.1","7.7%"
"68","Xavier Legette (CAR)","49","84","497","10.1","35","7","4","6","24","0","0","16","76.1","4.8","27.6%"
"69","Jalen Nailor (MIN)","28","42","414","14.8","33","8","6","3","-4","0","1","17","75.0","4.4","6.3%"
"70","Stefon Diggs (NE)","47","64","496","10.6","49","5","3","3","8","1","0","8","74.9","9.4","83.7%"
"71","KaVontae Turpin (DAL)","31","52","420","13.5","64","6","2","16","92","0","1","17","73.2","4.3","3.2%"
"72","Tyler Lockett (TEN)","49","74","600","12.2","37","7","2","0","0","0","0","17","72.0","4.2","10.4%"
"73","Dontayvion Wicks (GB)","39","76","415","10.6","36","4","5","0","0","0","0","17","71.5","4.2","8.4%"
"74","Darius Slayton (NYG)","39","71","573","14.7","43","9","2","2","17","0","0","16","71.0","4.4","7.2%"
"75","Joshua Palmer (BUF)","39","65","584","15.0","45","10","1","0","0","0","0","15","68.4","4.6","17.1%"
"76","Mack Hollins (NE)","31","50","378","12.2","44","4","5","0","0","0","0","17","67.8","4.0","1.7%"
"77","Olamide Zaccheaus (CHI)","45","64","506","11.2","49","5","3","1","8","0","1","17","67.4","4.0","1.1%"
"78","Devaughn Vele (DEN)","41","55","475","11.6","37","7","3","0","0","0","0","13","65.5","5.0","3.3%"
"79","Marquez Valdes-Scantling (SEA)","19","44","411","21.6","71","8","4","1","4","0","0","13","65.5","5.0","3.6%"
"80","Parker Washington (JAC)","32","51","390","12.2","30","6","3","0","0","0","0","17","65.0","3.8","2.6%"
"81","Ricky Pearsall (SF)","31","46","400","12.9","46","5","3","3","45","0","0","11","62.5","5.7","78.5%"
"82","Jalen Coker (CAR)","32","46","478","14.9","83","6","2","0","0","0","0","11","60.6","5.5","8.4%"
"83","Elijah Moore (BUF)","61","102","538","8.8","44","5","1","1","1","0","0","17","59.9","3.5","3.3%"
"84","Rashid Shaheed (NO)","20","41","349","17.5","70","5","3","6","29","0","1","6","59.8","10.0","59.7%"
"85","Tim Patrick (DET)","33","44","394","11.9","42","6","3","0","0","0","0","16","59.4","3.7","1.8%"
"86","Tutu Atwell (LAR)","42","62","562","13.4","50","10","0","2","7","0","0","17","56.9","3.3","4.6%"
"87","Diontae Johnson (CLE)","33","67","375","11.4","39","5","3","2","6","0","0","11","56.1","5.1","7.7%"
"88","Greg Dortch (ARI)","37","50","342","9.2","39","2","3","5","31","0","1","17","53.3","3.1","1.8%"
"89","David Moore (CAR)","32","57","351","11.0","21","2","3","1","0","0","0","17","53.1","3.1","0.8%"
"90","Cedric Tillman (CLE)","29","49","339","11.7","38","6","3","1","-5","0","1","11","51.4","4.7","24.4%"
"91","Noah Brown (WAS)","35","56","453","12.9","52","4","1","0","0","0","0","11","51.3","4.7","2.1%"
"92","Sterling Shepard (TB)","32","51","334","10.4","30","4","1","8","69","0","0","14","48.3","3.5","1.0%"
"93","Chris Olave (NO)","32","44","400","12.5","39","4","1","1","7","0","1","8","44.7","5.6","85.3%"
"94","Christian Kirk (HOU)","27","47","379","14.0","61","7","1","0","0","0","0","8","43.9","5.5","30.0%"
"95","Brandin Cooks (NO)","26","54","259","10.0","29","3","3","3","-3","0","0","10","43.6","4.4","4.8%"
"96","Rashee Rice (KC)","24","29","288","12.0","44","3","2","1","1","0","0","4","40.9","10.2","92.8%"
"97","Justin Watson (HOU)","22","32","289","13.1","49","2","2","0","0","0","0","16","40.9","2.6","1.0%"
"98","Van Jefferson (TEN)","24","40","276","11.5","43","4","2","0","0","0","0","15","39.6","2.6","1.1%"
"99","Kalif Raymond (DET)","17","22","215","12.6","38","3","2","2","0","0","0","12","39.5","3.3","0.9%"
"100","Tyler Boyd (FA)","39","57","390","10.0","40","4","0","1","3","0","0","15","39.3","2.6","1.2%"
"101","Troy Franklin (DEN)","28","53","263","9.4","30","5","2","2","8","0","0","16","39.1","2.4","5.5%"
"102","Dyami Brown (JAC)","30","40","308","10.3","51","5","1","3","26","0","1","15","37.4","2.5","7.5%"
"103","Brandon Aiyuk (SF)","25","47","374","15.0","53","5","0","0","0","0","0","7","37.4","5.3","55.8%"
"104","Kendrick Bourne (NE)","28","38","305","10.9","37","2","1","1","6","0","0","12","37.1","3.1","1.4%"
"105","Mike Williams (FA)","21","34","298","14.2","32","6","1","0","0","0","0","14","35.8","2.6","3.2%"
"106","Nelson Agholor (FA)","14","29","231","16.5","56","5","2","0","0","0","0","13","35.1","2.7","1.0%"
"107","Tyler Johnson (NYJ)","26","41","291","11.2","63","4","1","0","0","0","0","11","35.1","3.2","1.1%"
"108","JuJu Smith-Schuster (KC)","18","26","231","12.8","50","3","2","0","0","0","0","14","35.1","2.5","1.5%"
"109","Gabe Davis (FA)","20","42","239","12.0","22","6","2","0","0","0","1","10","33.9","3.4","3.3%"
"110","Lil'Jordan Humphrey (NYG)","31","45","293","9.5","41","5","1","0","0","0","1","14","33.3","2.4","0.7%"
"111","Curtis Samuel (BUF)","31","46","253","8.2","38","2","1","5","14","0","0","14","32.7","2.3","2.9%"
"112","John Metchie III (HOU)","24","37","254","10.6","28","3","1","0","0","0","0","13","31.4","2.4","0.9%"
"113","DJ Turner (FA)","16","29","158","9.9","30","2","1","5","33","1","0","13","31.1","2.4","1.0%"
"114","Adonai Mitchell (IND)","23","55","312","13.6","36","4","0","4","6","0","1","17","30.8","1.8","8.4%"
"115","Jordan Whittington (LAR)","22","28","293","13.3","50","4","0","2","12","0","0","15","30.5","2.0","5.6%"
"116","Cedrick Wilson Jr. (NO)","20","27","211","10.6","25","1","1","0","0","0","1","15","29.9","2.0","1.1%"
"117","Malik Washington (MIA)","26","36","223","8.6","20","2","0","5","25","1","1","14","28.8","2.1","2.9%"
"118","Derius Davis (LAC)","13","17","112","8.6","23","1","2","12","39","0","0","15","27.1","1.8","0.6%"
"119","Josh Reynolds (NYJ)","13","24","194","14.9","49","4","1","0","0","0","0","8","25.4","3.2","2.6%"
"120","Tylan Wallace (BAL)","11","12","193","17.5","84","2","1","0","0","0","0","17","25.3","1.5","0.6%"
"121","KhaDarel Hodge (ATL)","7","12","131","18.7","45","3","1","0","0","0","0","16","25.1","1.6","0.7%"
"122","Ryan Miller (TB)","12","20","128","10.7","39","2","2","0","0","0","0","11","24.8","2.3","1.0%"
"123","Jalen Brooks (DAL)","12","30","177","14.8","41","2","1","0","0","0","0","14","23.7","1.7","1.0%"
"124","Trey Palmer (TB)","12","22","172","14.3","27","2","1","0","0","0","0","15","23.2","1.5","0.6%"
"125","Jahan Dotson (PHI)","19","33","216","11.4","36","2","0","1","13","0","0","17","22.9","1.3","2.4%"
"126","Malik Heath (GB)","10","13","97","9.7","41","1","2","0","0","0","0","12","21.7","1.8","0.6%"
"127","Mecole Hardman Jr. (GB)","12","14","90","7.5","17","0","0","5","62","1","0","12","21.2","1.8","0.6%"
"128","Ja'Lynn Polk (NE)","12","33","87","7.3","21","1","2","1","0","0","0","15","20.7","1.4","2.0%"
"129","Dante Pettis (NO)","12","28","120","10.0","20","1","1","0","0","0","0","8","20.0","2.5","0.6%"
"130","Robert Woods (PIT)","20","30","203","10.2","32","2","0","0","0","0","1","14","18.3","1.3","1.1%"
"131","Bub Means (NO)","9","15","118","13.1","36","1","1","0","0","0","0","7","17.8","2.5","0.8%"
"132","Ashton Dulin (IND)","2","8","67","33.5","54","1","1","5","45","0","0","15","17.2","1.1","0.1%"
"133","Jamison Crowder (FA)","9","13","72","8.0","12","0","2","0","0","0","1","5","17.2","3.4","1.0%"
"134","Luke McCaffrey (WAS)","18","24","168","9.3","30","2","0","0","0","0","0","17","16.8","1.0","2.4%"
"135","Jake Bobo (SEA)","13","17","107","8.2","15","0","1","0","0","0","0","17","16.7","1.0","1.0%"
"136","Kevin Austin Jr. (NO)","11","22","151","13.7","23","2","0","1","9","0","0","8","16.0","2.0","0.0%"
"137","Jonathan Mingo (DAL)","17","42","167","9.8","35","2","0","2","5","0","1","16","15.2","1.0","0.6%"
"138","Bo Melton (GB)","8","17","91","11.4","28","1","0","8","54","0","0","17","14.5","0.9","0.8%"
"139","Trent Sherfield Sr. (DEN)","8","10","83","10.4","17","0","1","0","0","0","0","15","14.3","1.0","0.1%"
"140","Tyrell Shavers (BUF)","1","1","69","69.0","69","1","1","0","0","0","0","3","12.9","4.3","0.0%"
"141","Rakim Jarrett (TB)","9","11","124","13.8","30","2","0","0","0","0","0","10","12.4","1.2","1.9%"
"142","K.J. Osborn (WAS)","7","18","57","8.1","22","1","1","0","0","0","0","7","11.7","1.7","1.4%"
"143","Xavier Hutchinson (HOU)","12","26","117","9.8","19","0","0","0","0","0","0","16","11.7","0.7","0.6%"
"144","Tay Martin (WAS)","1","2","49","49.0","49","1","1","0","0","0","0","1","10.9","10.9","0.0%"
"145","Ainias Smith (PHI)","7","9","41","5.9","15","0","1","2","6","0","0","7","10.7","1.5","0.6%"
"146","Jermaine Burton (CIN)","4","14","107","26.8","47","2","0","0","0","0","0","14","10.7","0.8","2.9%"
"147","Simi Fehoko (ARI)","6","16","106","17.7","30","2","0","0","0","0","0","6","10.6","1.8","1.0%"
"148","Mason Tipton (NO)","14","26","99","7.1","15","0","0","0","0","0","0","11","9.9","0.9","1.3%"
"149","Johnny Wilson (PHI)","5","15","38","7.6","9","0","1","0","0","0","0","16","9.8","0.6","0.6%"
"150","Bryce Oliver (TEN)","6","9","95","15.8","33","1","0","0","0","0","0","10","9.5","1.0","0.0%"
"151","Marquise Brown (KC)","9","15","91","10.1","20","1","0","0","0","0","0","2","9.1","4.6","36.0%"
"152","DJ Chark Jr. (ATL)","4","10","31","7.8","12","0","1","0","0","0","0","4","9.1","2.3","0.7%"
"153","Parris Campbell (FA)","6","8","30","5.0","7","0","1","0","0","0","0","4","9.0","2.3","0.1%"
"154","Zay Jones (ARI)","8","11","84","10.5","25","1","0","0","0","0","0","11","8.4","0.8","1.0%"
"155","Xavier Gipson (NYJ)","6","10","39","6.5","17","0","1","1","5","0","1","17","8.4","0.5","0.6%"
"156","Devin Duvernay (CHI)","11","16","79","7.2","28","1","0","4","3","0","0","13","8.2","0.6","0.6%"
"157","Ryan Flournoy (DAL)","10","14","102","10.2","26","1","0","0","0","0","1","11","8.2","0.7","0.7%"
"158","Devontez Walker (BAL)","1","3","21","21.0","21","1","1","0","0","0","0","7","8.1","1.2","0.6%"
"159","Kristian Wilkerson (BUF)","2","3","18","9.0","9","0","1","0","0","0","0","1","7.8","7.8","1.0%"
"160","Jalen Reagor (LAC)","7","12","100","14.3","41","2","0","3","-3","0","1","8","7.7","1.0","0.0%"
"161","Chris Conley (FA)","6","12","76","12.7","23","2","0","0","0","0","0","9","7.6","0.8","0.0%"
"162","Brandon Powell (FA)","7","10","71","10.1","13","0","0","0","0","0","0","17","7.1","0.4","1.4%"
"163","Scotty Miller (PIT)","5","9","69","13.8","21","2","0","0","0","0","0","13","6.9","0.5","0.1%"
"164","Ben Skowronek (PIT)","5","5","69","13.8","23","1","0","0","0","0","0","10","6.9","0.7","0.0%"
"165","Jacob Cowing (SF)","4","6","80","20.0","41","1","0","1","7","0","1","15","6.7","0.4","0.9%"
"166","River Cracraft (FA)","7","9","66","9.4","16","0","0","0","0","0","0","5","6.6","1.3","0.0%"
"167","Michael Woods II (FA)","7","17","65","9.3","16","0","0","0","0","0","0","5","6.5","1.3","0.0%"
"168","Jalin Hyatt (NYG)","8","19","62","7.8","19","0","0","0","0","0","0","16","6.2","0.4","1.4%"
"169","Ihmir Smith-Marsette (NYG)","0","0","0","0","0","0","0","0","0","0","0","15","6.0","0.4","0.6%"
"170","Laviska Shenault Jr. (BUF)","5","5","36","7.2","18","0","0","1","1","0","2","10","5.7","0.6","0.1%"
"171","Odell Beckham Jr. (FA)","9","18","55","6.1","11","0","0","0","0","0","0","8","5.5","0.7","1.1%"
"172","DeAndre Carter (CLE)","9","14","72","8.0","14","0","0","0","0","0","1","13","5.2","0.4","0.0%"
"173","Nikko Remigio (KC)","2","6","48","24.0","25","2","0","0","0","0","0","5","4.8","1.0","0.6%"
"174","Tyquan Thornton (KC)","4","8","47","11.8","17","0","0","0","0","0","0","4","4.7","1.2","1.1%"
"175","Charlie Jones (CIN)","1","1","5","5.0","5","0","0","0","0","0","1","8","4.5","0.6","0.6%"
"176","Dee Eskridge (MIA)","3","3","44","14.7","30","1","0","0","0","0","0","6","4.4","0.7","0.0%"
"177","Cody White (SEA)","2","3","44","22.0","28","1","0","0","0","0","0","4","4.4","1.1","0.0%"
"178","Xavier Smith (LAR)","2","2","6","3.0","11","0","0","4","36","0","0","15","4.2","0.3","0.6%"
"179","Tim Jones (MIN)","3","5","41","13.7","20","1","0","0","0","0","0","8","4.1","0.5","0.0%"
"180","Terrace Marshall Jr. (PHI)","3","6","41","13.7","28","1","0","0","0","0","0","5","4.1","0.8","0.6%"
"181","Dan Chisena (FA)","3","4","37","12.3","23","1","0","0","0","0","0","6","3.7","0.6","0.0%"
"182","Treylon Burks (TEN)","4","8","34","8.5","13","0","0","2","1","0","0","5","3.5","0.7","0.6%"
"183","Britain Covey (LAR)","7","8","34","4.9","11","0","0","0","0","0","0","5","3.4","0.7","0.0%"
"184","Alex Bachman (LV)","3","3","31","10.3","18","0","0","0","0","0","0","5","3.1","0.6","0.0%"
"185","Allen Robinson II (FA)","3","7","30","10.0","21","1","0","0","0","0","0","6","3.0","0.5","1.4%"
"186","David Bell (CLE)","3","3","27","9.0","12","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"187","Deven Thompkins (FA)","4","4","20","5.0","12","0","0","2","7","0","0","5","2.7","0.5","0.0%"
"188","Anthony Gould (IND)","1","1","23","23.0","23","1","0","0","0","0","0","8","2.3","0.3","1.0%"
"189","Ronnie Bell (DET)","2","6","22","11.0","12","0","0","0","0","0","0","4","2.2","0.6","0.1%"
"190","Malachi Corley (NYJ)","3","6","16","5.3","10","0","0","2","26","0","1","7","2.2","0.3","2.5%"
"191","Jamari Thrash (CLE)","3","7","22","7.3","11","0","0","0","0","0","0","9","2.2","0.2","0.6%"
"192","Austin Trammell (JAC)","2","3","40","20.0","22","1","0","0","0","0","1","1","2.0","2.0","0.0%"
"193","Chris Blair (ATL)","1","2","17","17.0","17","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"194","Mason Kinsey (TEN)","2","2","17","8.5","11","0","0","0","0","0","0","6","1.7","0.3","0.0%"
"195","Anthony Miller (BAL)","1","1","16","16.0","16","0","0","0","0","0","0","2","1.6","0.8","0.0%"
"196","Trenton Irwin (JAC)","3","10","15","5.0","6","0","0","0","0","0","0","6","1.5","0.3","0.0%"
"197","Casey Washington (ATL)","1","2","14","14.0","14","0","0","0","0","0","0","2","1.4","0.7","0.0%"
"198","Javon Baker (NE)","1","4","12","12.0","12","0","0","0","0","0","0","10","1.2","0.1","0.7%"
"199","Isaiah Hodgins (SF)","2","2","12","6.0","7","0","0","0","0","0","0","2","1.2","0.6","0.0%"
"200","Trent Taylor (SF)","1","1","11","11.0","11","0","0","0","0","0","0","2","1.1","0.6","0.0%"
"201","Kameron Johnson (TB)","0","1","0","0","0","0","0","2","11","0","0","5","1.1","0.2","0.0%"
"202","Grant DuBose (FA)","2","4","11","5.5","13","0","0","0","0","0","0","2","1.1","0.6","0.0%"
"203","Kendric Pryor (CIN)","1","1","9","9.0","9","0","0","0","0","0","0","2","0.9","0.5","0.0%"
"204","Brandon Johnson (PIT)","1","1","9","9.0","9","0","0","0","0","0","0","3","0.9","0.3","1.0%"
"205","Ramel Keyton (FA)","1","3","7","7.0","7","0","0","0","0","0","0","3","0.7","0.2","0.0%"
"206","Isaiah Williams (CIN)","2","3","6","3.0","4","0","0","0","0","0","0","8","0.6","0.1","0.0%"
"207","Jaelon Darden (FA)","1","1","6","6.0","6","0","0","0","0","0","0","11","0.6","0.1","0.0%"
"208","John Ross (FA)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"209","Collin Johnson (LV)","1","2","6","6.0","6","0","0","0","0","0","0","6","0.6","0.1","0.0%"
"210","Robbie Chosen (SF)","1","4","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"211","Tyler Scott (CHI)","1","1","5","5.0","5","0","0","0","0","0","0","11","0.5","0.0","0.9%"
"212","James Proche II (TEN)","3","3","21","7.0","14","0","0","0","0","0","1","9","0.1","0.0","0.0%"
"213","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Quintez Cephus (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Marquez Callaway (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Emeka Egbuka (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.5%"
"217","Chris Tyree (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Daniel Jackson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Tom Kennedy (DET)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"220","Cornelius Johnson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"221","AJ Henning (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Jalen Guyton (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"224","Deonte Harty (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"225","Mario Williams (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Donovan Peoples-Jones (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Traeshon Holden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Ja'Corey Brooks (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"229","Beaux Collins (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","KJ Hamler (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"231","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"232","Gunner Olszewski (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Arian Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"234","Seth Williams (LV)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"235","Dez Fitzpatrick (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"236","Quez Watkins (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"237","Tarik Black (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Trishton Jackson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","Scotty Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Rondale Moore (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"242","Justyn Ross (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"243","Michael Strachan (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","John Stephens Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","JaQuae Jackson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Terique Owens (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Julian Hicks (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
